name,kind,groups,target_family,random_seed,fourier,deformable,supcon_margin,adamnorm
g3_FDS__fourier_d9_s4_all__D00000_seed42__supm_m0p1_s64_t0p1_ls0_lr0p001,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,42,fourier_d9_s4_all,D00000_seed42,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,
g3_FDS__fourier_d9_s4_all__D00000_seed42__supm_m0p05_s30_t0p1_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,42,fourier_d9_s4_all,D00000_seed42,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d9_s4_all__D00000_seed42__supm_m0p05_s30_t0p05_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,42,fourier_d9_s4_all,D00000_seed42,supm_mixnet_s_m0p05_s30_t0p05_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d9_s4_all__D11011_seed2026__supm_m0p1_s64_t0p1_ls0_lr0p001,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d9_s4_all,D11011_seed2026,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,
g3_FDS__fourier_d9_s4_all__D11011_seed2026__supm_m0p05_s30_t0p1_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d9_s4_all,D11011_seed2026,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d9_s4_all__D11011_seed2026__supm_m0p05_s30_t0p05_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d9_s4_all,D11011_seed2026,supm_mixnet_s_m0p05_s30_t0p05_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d1_s2b3__D11000_seed2026__supm_m0p1_s64_t0p1_ls0_lr0p001,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D11000_seed2026,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,
g3_FDS__fourier_d1_s2b3__D11000_seed2026__supm_m0p05_s30_t0p1_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D11000_seed2026,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d1_s2b3__D11000_seed2026__supm_m0p05_s30_t0p05_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D11000_seed2026,supm_mixnet_s_m0p05_s30_t0p05_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d1_s2b3__D10101_seed2026__supm_m0p1_s64_t0p1_ls0_lr0p001,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D10101_seed2026,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,
g3_FDS__fourier_d1_s2b3__D10101_seed2026__supm_m0p05_s30_t0p1_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D10101_seed2026,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d1_s2b3__D10101_seed2026__supm_m0p05_s30_t0p05_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D10101_seed2026,supm_mixnet_s_m0p05_s30_t0p05_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d1_s2b3__D00000_seed42__supm_m0p1_s64_t0p1_ls0_lr0p001,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,42,fourier_d1_s2b3,D00000_seed42,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,
g3_FDS__fourier_d1_s2b3__D00000_seed42__supm_m0p05_s30_t0p1_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,42,fourier_d1_s2b3,D00000_seed42,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d1_s2b3__D00000_seed42__supm_m0p05_s30_t0p05_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,42,fourier_d1_s2b3,D00000_seed42,supm_mixnet_s_m0p05_s30_t0p05_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d1_s2b3__D11011_seed2026__supm_m0p1_s64_t0p1_ls0_lr0p001,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D11011_seed2026,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,
g3_FDS__fourier_d1_s2b3__D11011_seed2026__supm_m0p05_s30_t0p1_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D11011_seed2026,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,
g3_FDS__fourier_d1_s2b3__D11011_seed2026__supm_m0p05_s30_t0p05_ls1_lr0p0003,three_group,fourier+deformable+supcon_margin,fourier_deformable_supcon_margin,2026,fourier_d1_s2b3,D11011_seed2026,supm_mixnet_s_m0p05_s30_t0p05_ls1_lr0p0003_p128_projected,
g3_FDA__fourier_d2_s3b2__D11000_seed2026__adamnorm_lr0p0001,three_group,fourier+deformable+adamnorm,fourier_deformable_adamnorm,2026,fourier_d2_s3b2,D11000_seed2026,,adamnorm_stagemask_001101_k357_lr0p0001
g3_FDA__fourier_d2_s3b2__D11000_seed2026__adamnorm_lr0p0003,three_group,fourier+deformable+adamnorm,fourier_deformable_adamnorm,2026,fourier_d2_s3b2,D11000_seed2026,,adamnorm_stagemask_001101_k357_lr0p0003
